Smiles,DC50 (nM),Sensor,Dmax (%),"IC50 (nM, Protac to Target)","IC50 (nM, Cellular activities)",Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
CNC(=O)C1=C(OCCCC#CC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1,,,,79.1,,640.678,640.1740182,2.68,-4.94,46,6,10,3,9,176.76
CNC(=O)C1=C(OCCOCCOCCOCCN2C=C(COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1,,,,79.5,,831.865,831.2646241,2.15,-4.9,59,7,17,3,21,244.39
CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(N4CCN(CCCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N1C1CCCC1,,,,79.7,,761.888,761.3761636,4.12,-4.47,56,8,13,3,12,178
CC1=CC=C(F)C(NC(=O)NC2=CC=C(C3=CC=CC4=C3C(N)=NN4C(=O)CCCCCCCCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)C=C2)=C1,,,,80.4,,1056.363,1055.54668,7.77,-6.18,76,7,11,6,24,213.67
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CC(=O)NCCCCCCC(=O)NC1=CC=CC3=C1CN(C1CCC(=O)NC1=O)C3=O)C(=O)N2C,,,,80.6,,759.864,759.3380468,4.02,-4,56,7,8,3,13,174.26
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCNC(=O)C3=CC=C(C4=CN=C(NCC5=CC=CO5)N5C=NN=C45)C=C3)C(C)(C)C)C=C2)SC=N1,,,,82,,907.067,906.3846797,3.62,-4.59,65,7,15,5,20,227.44
CNC(=O)C1=C(OCCCCCCCCN2C=C(COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1,,,,83.1,,783.868,783.2798803,3.61,-5.07,56,7,14,3,18,216.7
O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)CCCCCN4C=C(CN5CCN(C6=NC(N7CCOCC7)=NC(N7C(C(F)F)=NC8=CC=CC=C87)=N6)CC5)N=N4)=C3C2=O)C(=O)N1,,,,86,,866.891,866.3536316,3.32,-4.39,63,9,17,2,14,218.8
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(CCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,,,,89,,1072.796,1071.44773,6.31,-6.12,74,7,15,5,20,217.31
O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)CCCN4C=C(CN5CCN(C6=NC(N7CCOCC7)=NC(N7C(C(F)F)=NC8=CC=CC=C87)=N6)CC5)N=N4)=C3C2=O)C(=O)N1,,,,90,,838.837,838.3223314,2.73,-4.13,61,9,17,2,12,218.8
COC1=CC=C(OC)C2=C1C(OC)=CC1=C2OC(C2=CC=C(C3=CN(CCCCCCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=CC1=O,,,,95.1,,785.81,785.2696924,4.62,-5.6,58,8,13,1,14,181.39
CC(C)(C)C1=NC(C2=CC=CC(NS(=O)(=O)C3=C(F)C=CC=C3F)=C2F)=C(C2=CC=NC(NCCCNC(=O)CCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=N2)S1,,,,97,,1036.125,1035.323066,5.16,-5.79,72,7,16,5,24,249.24
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=CC=C1,,,,97.3,,893.441,892.3351256,6.24,-5.45,65,8,10,3,16,170.17
CNC(=O)C1=C(OCCCCCCCCCCCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1,,,,98,,758.898,758.3097834,5.13,-6.01,54,6,11,3,20,185.99
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCNC(=O)CCC(=O)NC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=CC=C1,,,,98.8,,978.503,977.3515039,5.33,-5.43,71,8,11,4,18,216.34
CC(C)(C)C1=NC(C2=CC=CC(NS(=O)(=O)C3=C(F)C=CC=C3F)=C2F)=C(C2=CC=NC(NCCCNC(=O)CCOCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=N2)S1,,,,99,,1124.231,1123.375495,5.44,-5.76,78,7,18,5,30,267.7
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CC(=O)NCCCCCC(=O)NC1=CC=CC3=C1CN(C1CCC(=O)NC1=O)C3=O)C(=O)N2C,,,,99.1,,745.837,745.3223967,3.74,-3.93,55,7,8,3,12,174.26
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)CCC3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,,100,,1201.192,1200.332123,4.75,-5.89,76,6,15,6,25,248.62
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCNC(=O)CCC3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,,100,,1245.245,1244.358338,4.7,-5.94,79,6,16,6,28,257.85
CC1=CC(NS(=O)(=O)C2=CC=C(CCC(=O)NCCOCCOCCOCCOCCOCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O,,,,100,,1104.946,1104.244748,3.79,-5.09,70,6,16,4,28,248.23
COC1=CC=C(OC)C2=C1C(OC)=CC1=C2OC(C2=CC=C(C3=CN(CCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=CC1=O,,,,101.2,,729.702,729.2070922,3.77,-5.28,54,8,13,1,10,181.39
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCNC(=O)CCCC(=O)NC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)C(=O)C4=C3)C=C2Cl)C=CC=C1C1=CC=CC=C1,,,,101.9,,992.53,991.367154,5.61,-5.4,72,8,11,4,19,216.34
NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCN(CC(=O)NCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,,,,102,,787.834,787.3078093,3.09,-5.08,58,8,14,3,14,213.2
CNC(=O)C1=C(OCCOCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1,,,,104.9,,706.734,706.2057123,1.9,-5.3,50,6,13,3,16,204.45
NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCN(CC(=O)NCCOCCOCC(=O)NCCOCCOCC(=O)NCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,,,,108,,1078.15,1077.455596,2.84,-5.14,78,8,20,5,30,308.32
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=CC=C1,,,,117.6,,879.414,878.3194755,5.98,-5.41,64,8,10,3,15,170.17
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CCCCCCC(=O)NC1=CC=CC3=C1CN(C1CCC(=O)NC1=O)C3=O)C(=O)N2C,,,,118.2,,702.812,702.3165831,4.48,-4.05,52,7,7,2,11,145.16
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCCCNC(=O)CCCC(=O)NC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=CC=C1,,,,120.8,,1020.584,1019.398454,6.13,-5.46,74,8,11,4,21,216.34
CC(C)(C)C1=NC(C2=CC=CC(NS(=O)(=O)C3=C(F)C=CC=C3F)=C2F)=C(C2=CC=NC(NCCCNC(=O)CCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=N2)S1,,,,122,,1080.178,1079.34928,5.3,-5.82,75,7,17,5,27,258.47
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCNC(=O)CCCC(=O)NC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=CC=C1,,,,122.5,,992.53,991.367154,5.55,-5.39,72,8,11,4,19,216.34
CC1=CC(NS(=O)(=O)C2=CC=C(CCC(=O)NCCOCCOCCOCCOCC(=O)NC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O,,,,126,,1059.909,1059.234517,3.69,-4.71,67,6,14,5,24,241.8
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(C5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O,,,,130,,703.76,703.2866799,3.13,-3.89,52,8,13,2,7,179.8
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CC(=O)NCCC(=O)NC1=CC=CC3=C1CN(C1CCC(=O)NC1=O)C3=O)C(=O)N2C,,,,132.2,,703.756,703.2754465,3.28,-3.76,52,7,8,3,9,174.26
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CC(=O)NCCCCC(=O)NC1=CC=CC3=C1CN(C1CCC(=O)NC1=O)C3=O)C(=O)N2C,,,,133.6,,731.81,731.3067467,3.57,-3.86,54,7,8,3,11,174.26
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CCCCCC(=O)NC1=CC=CC3=C1CN(C1CCC(=O)NC1=O)C3=O)C(=O)N2C,,,,135.1,,688.785,688.300933,4.23,-3.96,51,7,7,2,10,145.16
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=C2OCCOC2=C1,,,,135.2,,951.477,950.3406049,6.05,-5.32,69,9,12,3,16,188.63
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CC(=O)NCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N(C2CCCC2)C1=O,,,,137,,936.04,935.428987,2.8,-4.18,68,8,18,4,21,248.62
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CC(=O)NCCCC(=O)NC1=CC=CC3=C1CN(C1CCC(=O)NC1=O)C3=O)C(=O)N2C,,,,138.4,,717.783,717.2910966,3.38,-3.79,53,7,8,3,10,174.26
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(C(=O)CCCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,,,,140,,1112.861,1111.47903,6.53,-6.2,77,7,14,5,21,225.15
CCCNNC(=O)C1=CC=C(C2=CC=C(NC(=O)CCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)N[C@@H](C)C3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)C=C2)C=C1,,,,140,,796.007,795.3778034,4.17,-6.07,57,5,9,6,15,181.86
CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(N4CCN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N1C1CCCC1,,,,142,,821.94,821.397293,3.68,-4.47,60,8,15,3,16,196.46
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CCCCC(=O)NC1=CC=CC3=C1CN(C1CCC(=O)NC1=O)C3=O)C(=O)N2C,,,,143.7,,674.758,674.2852829,3.88,-3.87,50,7,7,2,9,145.16
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=C2OCCOC2=C1,,,,143.7,,937.45,936.3249548,5.79,-5.29,68,9,12,3,15,188.63
CC[C@H](C)N1C=C(C)C2=C(C(=O)NCC3=C(C)C=C(C)[NH]C3=O)C=C(C3=CC=C(N4CCN(CCCCCCCCCCOC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)N=C3)C=C21,,,,144,,939.171,938.5054465,7,-5.32,69,8,11,3,20,179.04
COC1=CC=C(OC)C2=C1C(OC)=CC1=C2OC(C2=CC=C(C3=CN(CCCCCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=CC1=O,,,,152.7,,771.783,771.2540424,4.51,-5.47,57,8,13,1,13,181.39
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)COC3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,,158,,1203.164,1202.311388,4.54,-5.77,76,6,16,6,25,257.85
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCNC(=O)COC3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,,158,,1247.217,1246.337602,4.51,-5.86,79,6,17,6,28,267.08
CN(C(=O)CCOCCOCCOCCOCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)[C@H]1CC[C@@]2(C)C(CC[C@@H]3C2CC[C@]2(C)[C@@H](C4=CC=C5C=CN=CC5=C4)CC[C@@H]32)C1,,,,159,,920.161,919.5095288,6.35,-6.76,67,9,11,2,19,165.7
NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCN(CC(=O)NCCOCCOCC(=O)NCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,,,,159,,932.992,932.3817025,2.79,-5.09,68,8,17,4,22,260.76
O=C(CCCCCCNC(=O)C1=CC=C(NC(=O)COCCOCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1)NO,,,,159,,738.751,738.2860708,1.65,-4.36,53,4,12,6,21,247.87
CC[C@H](C)N1C=C(C)C2=C(C(=O)NCC3=C(C)C=C(C)[NH]C3=O)C=C(C3=CC=C(N4CCN(CCCCCCCCCCCOC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)N=C3)C=C21,,,,165,,953.198,952.5210965,7.29,-5.44,70,8,11,3,21,179.04
COC1=CC=C(OC)C2=C1C(OC)=CC1=C2OC(C2=CC=C(C3=CN(CCCCCCCCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)N=N3)C=C2)=CC1=O,,,,166.2,,813.864,813.3009926,5.18,-5.86,60,8,13,1,16,181.39
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=CC=C1,,,,170.9,,921.495,920.3664257,6.86,-5.54,67,8,10,3,18,170.17
CC1=NOC(C)=C1C1=CC=C2C(=C1)C(C1=CC=CC=C1)N(CC1=CN(CCOCCOCCOCCOCC(=O)NC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N1)C(=O)N2C,,,,173.4,,903.95,903.3551534,3.22,-4.1,66,8,15,2,20,229.86
O=C(CCCCCCNC(=O)C1=CC=C(NC(=O)COCCOCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1)NO,,,,174,,738.751,738.2860708,1.65,-4.36,53,4,12,6,21,247.87
CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(N4CCN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=N3)N=C2N1C1CCCC1,,,,175,,821.94,821.397293,3.68,-4.47,60,8,15,3,16,196.46
CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(C(=O)CC5=CN(CCOCCOCCOCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC6=CC=C(C7=C(C)N=CS7)C=C6)C(C)(C)C)N=N5)CC4)C=N3)N=C2N(C2CCCC2)C1=O,,,,176.8,,1159.385,1158.543306,4.04,-5.13,83,9,21,4,24,283.35
C=CC(=O)N[C@@H](CCC(=O)NCCCCCCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)NC1=CC=CC(NC2=NC=C(NC(=O)C3=CC(NC(=O)C4=CC=CC(C(F)(F)F)=C4)=CC=C3C)C=N2)=C1,,,,186,,1072.115,1071.421457,5.51,-5.56,78,7,13,8,24,278.89
COC1=CC=C(Cl)C(S(=O)(=O)NC2=CC=C(C3=NC(OC[C@H]4CN(CCOCCOCCOCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CCO4)=C4C(C)=N[NH]C4=N3)C=C2)=C1,,,,190,,1147.775,1146.406987,4.53,-5.99,79,8,18,5,25,270.88
CN(C(=O)CCOCCOCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)[C@H]1CC[C@@]2(C)C(CC[C@@H]3C2CC[C@]2(C)[C@@H](C4=CC=C5C=CN=CC5=C4)CC[C@@H]32)C1,,,N.D.,192,,832.055,831.4570993,6.43,-6.75,61,9,9,2,13,147.24
CC1=C(COC2=CC(OCC3=CC=CC(C#N)=C3)=C(CN3CCCCC3C(=O)NCCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Cl)C=CC=C1C1=CC=C2OCCOC2=C1,,,,193.2,,979.531,978.371905,6.67,-5.39,71,9,12,3,18,188.63
CC1=C(COC2=CC=C(CN3CCCCC3C(=O)NCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2Br)C=CC=C1C1=CC=CC=C1,,,,197.4,,820.785,819.2631463,6.11,-6.21,56,7,8,3,14,137.15
CC(C)(C)C1=NC(C2=CC=CC(NS(=O)(=O)C3=C(F)C=CC=C3F)=C2F)=C(C2=CC=NC(NCCCNC(=O)CCOCCOCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=N2)S1,,,,199,,1168.284,1167.40171,5.59,-5.81,81,7,19,5,33,276.93
CC1=CC(NS(=O)(=O)C2=CC=C(OCC(=O)NCCOCCOCCOCC(=O)NC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O,,,,200,,1017.828,1017.187567,3.23,-4.72,64,6,14,5,21,241.8
CC1=CC(NS(=O)(=O)C2=CC=C(OCC(=O)NCCOCCOCCOCCOCCOCCOC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O,,,,200,,1106.918,1106.224012,3.55,-4.86,70,6,17,4,28,257.46
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCNC(=O)C3=CC=C(C4=CN=C(NCC5=CC=CO5)N5C=NN=C45)C=C3)C(C)(C)C)C=C2)SC=N1,,,,241,,995.173,994.4371092,3.77,-4.65,71,7,17,5,26,245.9
COC1=C(C(=O)NCCCCCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)SC(C2=CC=NC(NC(=O)C3CC3)=C2)=N1,,,,242.7,,731.788,731.2373468,2.77,-5.05,52,6,12,4,16,215.09
CC(C)(C)C1=NC(C2=CC=CC(NS(=O)(=O)C3=C(F)C=CC=C3F)=C2F)=C(C2=CC=NC(NCCCNC(=O)CCOCCOCCOCCOCCOCCNC(=O)CCOCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=N2)S1,,,,243,,1415.575,1414.543683,5.24,-5.8,98,7,24,6,48,342.95
O=C(CCCCCCNC(=O)C1=CC=C(NC(=O)COCCOCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1)NO,,,,248,,738.751,738.2860708,1.65,-4.36,53,4,12,6,21,247.87
CC1=CC(C)=NC(SCC(=O)NC2=NC=C(CC3=CC=CC(OCC4=CN(CCCCNC(=O)COC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)=C3)S2)=N1,,,,250,,852.956,852.2472002,3.49,-5.39,60,7,16,3,18,229.59
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCNC(=O)CC3=CC=C(S(=O)(=O)NC4=C(NC5=CC=C(I)C=C5F)N(C)C(=O)C(C)=C4)C=C3)C(C)(C)C)C=C2)SC=N1,,,,251,,1231.218,1230.342688,4.53,-5.86,78,6,16,6,27,257.85
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCNC(=O)C3=CC=C(C4=CN=C(NCC5=CC=CO5)N5C=NN=C45)C=C3)C(C)(C)C)C=C2)SC=N1,,,,275,,818.961,818.3322502,3.33,-4.55,59,7,13,5,14,208.98
CNC(=O)C1=C(OCCCC#CC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1,,,,294.7,,626.695,626.1947537,2.72,-4.93,45,6,9,3,9,159.69
CC1=CC=C(F)C(S(=O)(=O)NC2=CC=C(C3=NC(OC[C@H]4CN(CCCCCCOCCOCCOCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CCO4)=C4C=N[NH]C4=N3)C=C2)=C1,,,,300,,1157.402,1156.488573,5.23,-6.16,81,8,17,5,28,261.65
CC1(NCC2=CN(CCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)CCN(C2=CN=C(C3=CC=CC(Cl)=C3Cl)C(N)=N2)CC1,,,,306,,820.739,819.2774835,3.63,-5.07,57,7,15,4,16,211.82
CC1=CC(NS(=O)(=O)C2=CC=C(CC(=O)NCCOCCOCCOCCOCC(=O)NC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O,,,,316,,1045.882,1045.218867,3.49,-4.8,66,6,14,5,23,241.8
CC1=CC(NS(=O)(=O)C2=CC=C(OCC(=O)NCCOCCOCCOCCOCC(=O)NC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C=C2)=C(NC2=CC=C(I)C=C2F)N(C)C1=O,,,,316,,1061.881,1061.213782,3.39,-4.58,67,6,15,5,24,251.03
O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCOCCOCCOCCOCCC(=O)N4CCN(C(=O)C5CCN(C6=CC=C(NC(=O)C7=CN=C(OC8=CC=CC=C8)N=C7)C=C6)CC5)CC4)=C3C2=O)C(=O)N1,,,,320,,1034.137,1033.454533,3.75,-4.4,75,8,17,3,26,249.7
CCCNNC(=O)C1=CC=C(C2=CC=C(NC(=O)CCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)N[C@@H](C)C3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)C=C2)C=C1,,,,320,,824.061,823.4091035,4.48,-6.17,59,5,9,6,17,181.86
NC1=CC=CC=C1NC(=O)C1=CC=C(NC(=O)CCCCCNC(=O)CNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1,,,,330,,653.696,653.2597965,2.7,-4.69,48,5,9,6,13,208.9
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCNC(=O)C3=CC=C(C4=CN=C(NCC5=CC=CO5)N5C=NN=C45)C=C3)C(C)(C)C)C=C2)SC=N1,,,,368,,847.015,846.3635503,3.82,-4.61,61,7,13,5,16,208.98
CCC(=O)N[C@@H](CCC(=O)NCCCCCCCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)NC1=CC=CC(NC2=NC=C(NC(=O)C3=CC(NC(=O)C4=CC=CC(C(F)(F)F)=C4)=CC=C3C)C=N2)=C1,,,,415,,1074.131,1073.437107,5.4,-5.57,78,7,13,8,24,278.89
CC1=CC=C(F)C(S(=O)(=O)NC2=CC=C(C3=NC(OC[C@H]4CN(CCOCCOCCOCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CCO4)=C4C=N[NH]C4=N3)C=C2)=C1,,,,440,,1101.294,1100.425973,4.18,-5.95,77,8,17,5,24,261.65
NC1=CC=CC=C1NC(=O)C1=CC=C(NC(=O)CCCCNC(=O)CNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1,,,,520,,639.669,639.2441464,2.36,-4.54,47,5,9,6,12,208.9
