DC50 (nM),Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
500,699.193,698.1826648,3.34,-4.81,49,7,11,3,8,167.75
500,1068.257,1067.51682,5.86,-5.97,78,8,13,5,29,227.44
500,1109.31,1108.543369,6.36,-6.08,81,8,14,6,31,247.31
500,1187.333,1186.538677,4.99,-5.55,86,8,18,6,36,284.23
489,1110.28,1109.554581,3.57,-4.52,80,8,16,7,25,322.7
485,816.876,816.3343584,3.12,-4.3,60,7,13,5,14,246.61
466,1068.359,1067.541515,5.56,-5.63,77,8,14,5,20,213.5
456,1106.259,1105.443083,5.69,-6.24,79,8,14,5,25,228.87
430,785.283,784.2194442,3.42,-5.07,55,7,12,3,12,194.05
410,1158.166,1157.422361,3.69,-5.69,83,9,10,8,19,310.81
405,846.902,846.3449231,3.04,-4.32,62,7,14,5,16,255.84
400,929.342,928.2983405,3.79,-5.12,66,8,15,5,19,247.76
400,1039.175,1038.465118,5.35,-5.69,76,8,14,6,26,247.31
400,1081.256,1080.512069,5.97,-5.95,79,8,14,6,29,247.31
400,1173.306,1172.523027,4.77,-5.45,85,8,18,6,35,284.23
391,953.486,952.2994258,6,-5.78,68,9,15,4,14,215.81
380,1213.202,1212.428175,2.98,-5.66,87,10,11,8,16,331.12
374,945.16,944.4367153,4.53,-5.31,68,8,15,4,18,212.18
370,882.069,881.3415955,4.76,-5.76,61,6,12,4,16,175.32
367.8,876.002,875.3523765,2.78,-5.48,62,6,14,5,19,234.9
367.7,928.122,927.4200622,4.33,-6.03,66,6,12,5,21,233.51
360,1158.166,1157.422361,3.68,-5.69,83,9,10,8,19,310.81
350,1101.794,1100.437893,4.49,-5.6,76,8,17,5,22,232.75
340,861.944,861.3131525,5.34,-6,61,6,12,4,16,177.13
320,657.659,657.2347246,2.44,-4.68,48,5,9,6,12,208.9
316,1046.714,1045.395694,4.66,-5.65,72,7,16,4,23,220.72
